feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.g__Algicola.s__uncultured_bacterium	stage	.L	2.84312826761612	0.155792517608216	63	63	3.33511199401792e-23	7.75413538609165e-20
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio.s__Vibrio_mediterranei	stage	.L	-1.97347201926789	0.129938942756374	63	63	6.12255988021214e-20	7.11747586074661e-17
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__uncultured_marine	stage	.L	2.67980732134503	0.212554372045186	63	61	3.26338743760491e-17	2.5291252641438e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Amphritea.__	stage	.L	1.64606604762487	0.139697459944179	63	63	1.25849997247851e-16	7.31503109003131e-14
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.__	stage	.L	-2.79758990204924	0.232922629593885	63	62	5.03888467931424e-16	2.34308137588112e-13
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.__.__	stage	.L	1.50380039511766	0.12778436261853	63	63	8.61971576831559e-16	2.87593593107933e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.__	stage	.L	2.06191162735873	0.186669722300449	63	63	8.65873183550767e-16	2.87593593107933e-13
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae.g__Psychrobium.s__uncultured_bacterium	stage	.L	3.30823002941609	0.315977980675624	63	60	9.10942398888074e-15	2.64742634676846e-12
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Nitrincolaceae.s__uncultured_gamma	stage	.L	1.97016251066801	0.190459956031261	63	63	3.27879716036776e-14	8.4702259976167e-12
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Nautella.__	stage	.L	1.47529262111475	0.145666358644397	63	63	3.97817885814876e-14	9.24926584519588e-12
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__Thalassotalea_montiporae	stage	.L	3.28253630887721	0.310740842898648	63	38	5.09175141716876e-14	1.07621109499249e-11
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquibacter.__	stage	.L	2.5833692555482	0.252782664182065	63	47	1.39596884993358e-13	2.70468964674632e-11
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_II.g__Clade_II.s__unidentified_marine	stage	.L	-2.0084139790409	0.207619053889353	63	61	3.01659681252958e-13	5.39506737625483e-11
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__Actinomarinaceae.g__Candidatus_Actinomarina.__	stage	.L	-2.8368512601535	0.300727418573272	63	60	3.96723418255636e-13	6.19638135973652e-11
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Litoribrevibacter.s__Litoribrevibacter_euphylliae	stage	.L	1.88373950620052	0.196972592322572	63	63	3.9976653933784e-13	6.19638135973652e-11
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Shimia.__	stage	.L	2.10606942307788	0.217113777597338	63	62	5.12564057948899e-13	7.44819646706995e-11
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea.s__Thalassotalea_ganghwensis	stage	.L	2.91206609397573	0.311687386997604	63	50	6.07917907919916e-13	8.31417138772827e-11
d__Bacteria.__.__.__.__.__.__	stage	.L	-1.70173492365199	0.183585737883976	63	63	7.96905750304988e-13	1.02933659414394e-10
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Kordia.__	stage	.L	2.37728286185614	0.259787383416329	63	49	3.03772198401437e-12	3.71721242780706e-10
